codigo;institucion
2202;INSTITUTO TECNOLOGICO SUPERIOR UNIVERSITEC
2203;INSTITUTO TECNOLOGICO SUPERIOR VEINTICUATRO DE MAYO
2204;INSTITUTO TECNOLOGICO SUPERIOR VIDA NUEVA
2206;INSTITUTO SUPERIOR CENTRO TECNOLOGICO NAVAL
2207;INSTITUTO TECNOLOGICO SUPERIOR AGUIRRE ABAD
2208;INSTITUTO TECNOLOGICO SUPERIOR BABAHOYO
2209;INSTITUTO TECNOLOGICO SUPERIOR CIUDAD DE VALENCIA
2210;INSTITUTO TECNICO SUPERIOR EUGENIO ESPEJO
2212;INSTITUTO TECNOLOGICO SUPERIOR SIETE DE OCTUBRE
2213;INSTITUTO TECNOLOGICO SUPERIOR BENJAMIN ARAUJO
2214;INSTITUTO TECNOLOGICO SUPERIOR BAÑOS
2215;INSTITUTO TECNOLOGICO SUPERIOR BOLIVAR
2217;INSTITUTO TECNOLOGICO SUPERIOR ESPAÑA
2218;INSTITUTO TECNOLOGICO SUPERIOR GUAYAQUIL
2219;INSTITUTO SUPERIOPR TECNOLOGICO HECTOR MORALES
2220;INSTITUTO TECNOLOGICO SUPERIOR HISPANO AMERICA
2222;INSTITUTO TECNOLOGICO SUPERIOR ALEMAN
2223;INSTITUTO TECNOLOGICO SUPERIOR JUAN FRANCISCO MONTALVO
2224;INSTITUTO TECNOLOGICO SUPERIOR LOS ANDES
2225;INSTITUTO TECNOLOGICO SUPERIOR LUIS A MARTINEZ (AGRONOMICO)
2226;INSTITUTO TECNOLOGICO SUPERIOR AMERICAN JUNIOR COLLEGE
2227;INSTITUTO TECNOLOGICO SUPERIOR LUIS A. MARTINEZ
2229;INSTITUTO TECNOLOGICO SUPERIOR MARIA NATALIA VACA
2230;INSTITUTO TECNOLOGICO SUPERIOR OSCAR EFREN REYES
2231;INSTITUTO TECNOLOGICO SUPERIOR PELILEO
2232;INSTITUTO TECNOLOGICO SUPERIOR ANDRES F. CORDOVA
2235;INSTITUTO TECNOLOGICO SUPERIOR BENITO JUAREZ
2236;BERNARDO O' HIGGINS
2237;INSTITUTO TECNOLOGICO SUPERIOR CENESTUR
2238;INSTITUTO TECNOLOGICO SUPERIOR CALAZACON
2239;INSTITUTO TECNOLOGICO SUPERIOR CENTRAL TECNICO
2244;INSTITUTO TECNOLOGICO SUPERIOR CINCO DE JUNIO
2246;INSTITUTO TECNOLOGICO SUPERIOR COMPU SUR
2247;INSTITUTO TECNOLOGICO SUPERIOR LUIS ULPIANO DE LA TORRE
2248;INSTITUTO TECNOLOGICO SUPERIOR CONSEJO PROVINCIAL DE PICHINCHA
2249;INSTITUTO TECNOLOGICO SUPERIOR CORPORATIVO EDWARDS DEMING
2250;TECNOLOGICO SUPERIOR CORDILLERA
2251;INSTITUTO TECNICO SUPERIOR CINCO DE AGOSTO
2252;INSTITUTO TECNOLOGICO SUPERIOR ELOY ALFARO
2254;INSTITUTO TECNOLOGICO SUPERIOR LUIS TELLO
2255;INSTITUTO TECNOLOGICO SUPERIOR QUININDE
2258;INSTITUTO TECNOLOGICO SUPERIOR DE FORMACION PROFESIONAL ADMINISTRATIVA Y COMERCIAL
2259;INSTITUTO TECNOLOGICO SUPERIOR RIOBAMBA
2260;INSTITUTO TECNOLOGICO SUPERIOR SAN GABRIEL
2261;INSTITUTO TECNOLOGICO SUPERIOR VICENTE ANDA AGUIRRE
2262;INSTITUTO TECNOLOGICO SUPERIOR VICTORIA VASCONEZ CUVI
2264;INSTITUTO TECNOLOGICO SUPERIOR RUMIÑAHUI
2265;INSTITUTO TECNOLOGICO SUPERIOR SHIRY CACHA
2266;INSTITUTO TECNOLOGICO SUPERIOR GSSOT
2267;INSTITUTO TECNOLOGICO SUPERIOR METROPOLITANO
2269;INSTITUTO TECNOLOGICO SUPERIOR JUAN MONTALVO
2270;INSTITUTO TECNOLOGICO SUPERIOR DE FUTBOL
2271;INSTITUTO TECNOLOGICO SUPERIOR JOSE ORTEGA Y GASSET
2275;INSTITUTO TECNOLOGICO SUPERIOR ADVENTISTA DEL ECUADOR
2277;INSTITUTO TECNOLOGICO SUPERIOR CEMLAD
2280;INSTITUTO TECNOLOGICO SUPERIOR LIMON
2281;INSTITUTO TECNOLOGICO SUPERIOR DON BOSCO
2284;INSTITUTO TECNOLOGICO SUPERIOR DE MERCADOTECNIA
2285;INSTITUTO TECNOLOGICO SUPERIOR EDUPRAXIS
2286;INSTITUTO TECNOLOGICO SUPERIOR ANDRES F. CORDOVA
2287;INSTITUTO TECNOLOGICO SUPERIOR TECNOECUATORIANO
2294;INSTITUTO TECNOLOGICO SUPERIOR DAVID P AUSUBEL
2296;INSTITUTO TECNOLOGICO SUPERIOR SAN LORENZO
2297;INSTITUTO TECNOLOGICO SUPERIOR ALOASI
2299;INSTITUTO TECNOLOGICO SUPERIOR CENTRO CRISTIANO DE COMUNICACIONES
2301;INSTITUTO TECNOLOGICO SUPERIOR ISELAD
2305;INSTITUTO TECNOLOGICO SUPERIOR MANUEL GALECIO
2309;INSTITUTO TECNOLOGICO SUPERIOR DE FORMACION HOLISTICA
2311;INSTITUTO TECNICO SUPERIOR SUCUA
2331;INSTITUTO TECNOLOGICO SUPERIOR CRUZ ROJA ECUATORIANA
2338;INSTITUTO TECNOLOGICO SUPERIOR SAN PEDRO
2339;INSTITUTO TECNOLOGICO SUPERIOR ESCUELA DE LOS CHEFS DE GUAYAQUIL
2340;INSTITUTO TECNOLOGICO SUPERIOR DE DESARROLLO HUMANO CRE -SER
2342;INSTITUTO TECNOLOGICO SUPERIOR SAN FRANCISCO
2360;INSTITUTO TECNOLOGICO SUPERIOR EUROAMERICANO
